kanji_id,type,subject,start_time,finish_time,result
383,ABCD,Meaning,1694894037031,1694894041497,1
1321,ABCD,Meaning,1694894045544,1694894063106,1
149,ABCD,Meaning,1694894066701,1694894083754,0
1073,ABCD,Meaning,1694894087085,1694894094632,1
124,ABCD,Meaning,1694894100213,1694894109551,1
213,ABCD,Meaning,1694894267809,1694894276432,1
16,ABCD,Meaning,1694894280210,1694894295358,0
124,ABCD,Meaning,1694894299789,1694894307843,1
1275,ABCD,Meaning,1694894312103,1694894330755,0
106,ABCD,Meaning,1694894334314,1694894338196,1
994,ABCD,Meaning,1694894341436,1694894345153,1
13,ABCD,Meaning,1694945116023,1694945159436,1
1347,ABCD,Meaning,1694945170275,1694945181221,1
954,ABCD,Meaning,1694945296821,1694945308902,0
56,ABCD,Meaning,1694945314328,1694945327977,0
1286,ABCD,Meaning,1694945333596,1694947066574,1
191,ABCD,Meaning,1694947072356,1694947081009,1
828,ABCD,Meaning,1694947085452,1694947098176,1
224,ABCD,Meaning,1694954543676,1694954552183,1
515,ABCD,Meaning,1694954557558,1694954565440,0
1452,ABCD,Meaning,1694958747867,1694958748722,1
879,ABCD,Meaning,1694958751520,1694958752104,0
1433,ABCD,Meaning,1694958755574,1694958756122,0
1200,ABCD,Meaning,1694958759718,1694958760926,0
748,ABCD,Meaning,1694958971698,1694958979892,0
1060,ABCD,Meaning,1694958983891,1694958991031,0
154,ABCD,Meaning,1694959058128,1694959058930,0
573,ABCD,Meaning,1694959062084,1694959063073,1
1074,ABCD,Meaning,1694959123620,1694959128535,0
468,ABCD,Meaning,1694959132436,1694959140100,0
738,ABCD,Meaning,1694959441087,1694959449657,0
850,ABCD,Meaning,1694959453713,1694959458411,1
705,ABCD,Meaning,1694959516409,1694959517578,0
1104,ABCD,Meaning,1694959520583,1694959521087,0
992,ABCD,Meaning,1694959530967,1694959531549,0
277,ABCD,Meaning,1694959534711,1694959535227,1
853,ABCD,Meaning,1694959538859,1694959539621,0
127,ABCD,Meaning,1694959598364,1694959599091,0
1187,ABCD,Meaning,1694959602145,1694959602694,0
433,ABCD,Meaning,1694959620398,1694959620954,0
275,ABCD,Meaning,1694959624101,1694959624551,1
224,ABCD,Meaning,1694959666774,1694959667765,0
685,ABCD,Meaning,1694959671114,1694959671705,0
105,ABCD,Meaning,1694959679483,1694959680108,0
103,ABCD,Meaning,1694959745023,1694959745622,0
133,ABCD,Meaning,1694959748916,1694959750218,0
1110,ABCD,Meaning,1694959822604,1694959823442,0
1433,ABCD,Meaning,1694959826385,1694959827179,0
776,ABCD,Meaning,1694959875755,1694959876903,0
222,ABCD,Meaning,1694959880057,1694959880660,1
1241,ABCD,Meaning,1694959999689,1694960000482,0
610,ABCD,Meaning,1694960003922,1694960004525,0
939,ABCD,Meaning,1694960235871,1694960236508,1
170,ABCD,Meaning,1694960240373,1694960241192,0
21,ABCD,Meaning,1694960272056,1694960272695,1
994,ABCD,Meaning,1694960275999,1694960276605,0
650,ABCD,Meaning,1694960741932,1694960742801,1
1385,ABCD,Meaning,1694960745954,1694960746508,1
723,ABCD,Meaning,1694961287780,1694961293196,0
767,ABCD,Meaning,1694961296653,1694961297137,0
969,ABCD,Meaning,1694961525767,1694961526536,1
1420,ABCD,Meaning,1694961530354,1694961533539,0
451,ABCD,Meaning,1695063578164,1695063579176,0
1273,ABCD,Meaning,1695063583157,1695063584558,0
300,ABCD,Meaning,1695063932764,1695063933431,0
910,ABCD,Meaning,1695063936363,1695063936964,1
588,ABCD,Meaning,1695064202213,1695064457713,0
348,ABCD,Meaning,1695064463459,1695064469682,0
743,ABCD,Meaning,1695064478748,1695064489857,0
555,ABCD,Meaning,1695064495614,1695064513778,1
1328,ABCD,Meaning,1695064518638,1695064529267,1
466,ABCD,Meaning,1695064563210,1695064574643,1
496,ABCD,Meaning,1695064581198,1695064590631,1
1010,ABCD,Meaning,1695064596156,1695064601186,1
150,ABCD,Meaning,1695331645524,1695331650755,0
296,ABCD,Meaning,1695331653819,1695331663046,1
152,ABCD,Meaning,1695405165925,1695405204197,1
385,ABCD,Meaning,1695405213951,1695405214389,1
975,ABCD,Meaning,1695405219492,1695405231825,0
667,ABCD,Meaning,1695405236314,1695405244274,1
480,ABCD,Meaning,1695485525151,1695485528591,0
65,ABCD,Meaning,1695486485929,1695486486410,0
903,ABCD,Meaning,1695486489477,1695486489802,0
769,ABCD,Meaning,1695486860185,1695486861510,0
692,ABCD,Meaning,1695749319893,1695749325298,0
853,ABCD,Meaning,1695749403476,1695749406015,0
569,ABCD,Meaning,1695749412002,1695749412670,0
1175,ABCD,Meaning,1695758661478,1695758698832,0
77,ABCD,Meaning,1695758702465,1695758712999,1
1270,ABCD,Meaning,1695758723771,1695758728245,0
310,ABCD,Meaning,1695758732507,1695758761463,0
1196,ABCD,Meaning,1695758766556,1695758767842,0
146,ABCD,Meaning,1695758771890,1695758791439,1
986,ABCD,Meaning,1695758796823,1695758804440,1
1028,ABCD,Meaning,1695758808179,1695758812413,1
715,ABCD,Meaning,1695759093280,1695759095818,0
1923,ABCD,Meaning,1695759904419,1695759905805,0
1477,ABCD,Meaning,1695759911442,1695759931386,1
2062,ABCD,Meaning,1695759941173,1695759950868,1
1411,ABCD,Meaning,1695759954958,1695760059344,1
38,ABCD,Meaning,1695760063773,1695760072738,1
2336,ABCD,Meaning,1695760076840,1695760078271,0
2682,ABCD,Meaning,1695760115057,1695760120996,1
2193,ABCD,Meaning,1695760136871,1695760159769,0
2784,ABCD,Meaning,1695760168324,1695760206805,1
1796,ABCD,Meaning,1695760216780,1695760221550,1
55,ABCD,Meaning,1695760236926,1695760264004,0
712,ABCD,Meaning,1695760272738,1695760282504,1
973,ABCD,Meaning,1695760290017,1695760297565,1
165,ABCD,Meaning,1695760304108,1695760310019,0
764,ABCD,Meaning,1695853183729,1695853227988,1
245,ABCD,Meaning,1695919377442,1695919397304,1
1718,ABCD,Meaning,1695919403913,1695919415492,0
1414,ABCD,Meaning,1695919564226,1695919582417,1
624,ABCD,Meaning,1695919587142,1695919603962,0
263,ABCD,Meaning,1695919610236,1695919633719,0
430,ABCD,Meaning,1695919639828,1695919648012,1
2057,ABCD,Meaning,1695924694495,1695924695873,0
2308,ABCD,Meaning,1695924708392,1695924711389,0
432,ABCD,Meaning,1695924717861,1695924718793,1
671,ABCD,Meaning,1695931573489,1695931574879,0
380,ABCD,Meaning,1696006975437,1696006985349,0
1839,ABCD,Meaning,1696007340154,1696007344195,0
539,ABCD,Meaning,1696007349417,1696007359709,1
1173,ABCD,Meaning,1696007372685,1696007429690,1
299,ABCD,Meaning,1696007434328,1696007441251,0
794,ABCD,Meaning,1696007447290,1696007455882,1
2440,ABCD,Meaning,1696007460993,1696007476115,0
169,ABCD,Meaning,1696007715478,1696007729686,0
1893,ABCD,Meaning,1696007737604,1696007741449,1
766,ABCD,Meaning,1696007752796,1696007773334,1
582,ABCD,Meaning,1696007777931,1696007792543,1
624,ABCD,Meaning,1696007799276,1696007811324,1
1922,ABCD,Meaning,1696031886525,1696031888276,1
2578,ABCD,Meaning,1696031892135,1696031899373,0
2480,ABCD,Meaning,1696031907306,1696031927966,0
756,ABCD,Meaning,1696095271740,1696095277617,0
246,ABCD,Meaning,1696095284603,1696095288288,1
1198,ABCD,Meaning,1696151940353,1696151952627,1
399,ABCD,Meaning,1696151957223,1696151970223,0
