ID,Character,Meaning
3,一,ground
4,ハ,fins
5,丶,drop
6,七,seven
7,丿,slide
8,亅,barb
9,二,two
10,亠,lid
11,人,person
12,入,enter
13,十,cross
14,力,power
15,勹,enclosure
16,口,mouth
17,大,big
18,女,woman
19,山,mountain
20,川,river
21,木,tree
22,工,construction
23,九,nine
24,日,sun
25,ト,toe
26,土,grave
27,刀,sword
28,ナ,narwhal
29,丁,nail
30,儿,legs
31,冂,head
32,又,stool
33,千,thousand
34,夕,evening
35,子,child
36,小,small
37,弓,spring
38,尸,flag
39,彡,hair
40,五,five
41,天,heaven
42,手,hand
43,文,doll
44,月,moon
45,止,stop
46,水,water
47,火,fire
48,犬,dog
49,王,king
50,中,middle
51,本,real
52,田,rice-paddy
53,白,white
54,目,eye
55,石,stone
56,立,stand
57,L,lion
58,牛,cow
59,ム,pile
60,メ,treasure
61,用,elephant
64,广,mullet
65,ヒ,spoon
66,ラ,ra
67,久,raptor-cage
68,夂,winter
69,干,antennae
71,元,origin
72,心,heart
73,方,direction
74,毛,fur
75,父,father
76,古,old
77,母,drawer
78,矢,arrow
79,戸,door
80,幺,poop
81,生,life
85,寸,measurement
86,ｲ,leader
87,冖,forehead
89,也,alligator
90,宀,helmet
91,弋,ceremony
92,ネ,pelican
93,支,frog
94,世,generation
95,皿,plate
96,竹,bamboo
97,糸,thread
98,耳,ear
99,虫,insect
100,見,see
101,赤,red
102,車,car
103,貝,clam
104,足,foot
105,不,not
106,士,samurai
107,米,rice
108,彳,loiter
109,巴,bed
111,巾,two-face
112,气,energy
113,厂,cliff
114,主,master
117,言,say
119,ヨ,wolverine
120,廾,twenty
121,毋,window
122,肉,meat
123,自,self
124,色,color
125,行,go
126,西,west
127,可,lip-ring
128,斤,axe
129,金,gold
130,青,blue
133,冫,ice
134,走,run
135,里,sunflower
138,会,meet
141,羽,feathers
142,雨,rain
144,凵,box
145,斗,chopsticks
146,ホ,angel
147,歹,bad
148,向,cyclops
149,未,jet
150,禾,pine
151,羊,sheep
152,長,long
153,血,blood
154,食,eat
155,マ,mama
157,占,fortune
159,欠,lack
160,首,neck
161,亡,death
162,己,cobra
163,鳥,bird
164,卩,stamp
165,氏,duck
166,矛,soldier
167,舟,sail
168,魚,fish
169,夫,husband
170,黄,yellow
171,黒,black
172,周,ghost
173,勿,wing
174,几,table
175,門,gate
176,豕,pig
178,合,suit
179,ユ,hook
180,巳,snake
181,云,boobs
182,殳,ikea
183,比,compare
184,片,waiter
185,釆,sickle
186,馬,horse
187,穴,hole
188,舌,tongue
189,易,gravity
191,匚,cage
195,介,hut
196,史,history
197,癶,tent
198,辛,spicy
201,重,heavy
202,反,devil
204,聿,brush
207,漢,chinese
209,各,kiss
210,豆,beans
211,酉,alcohol
213,曲,music
214,丙,dynamite
215,乃,stairs
216,束,ent
217,失,fault
218,隹,turkey
220,令,orders
222,戈,drunkard
224,兄,older-brother
225,及,escalator
226,艮,good
227,音,sound
228,少,few
229,単,witch-doctor
230,寺,temple
231,申,say-humbly
232,皮,skin
233,予,beforehand
234,者,someone
235,,tofu
236,早,early
237,亜,tie-fighter
238,其,crab
239,廴,big-bird
240,示,jackhammer
241,免,excuse
242,非,injustice
243,弟,younger-brother
244,,creeper
245,冊,books
246,央,central
247,正,correct
248,品,products
249,尺,shrimp
250,意,idea
251,𠆢,roof
252,東,east
253,丸,circle
254,果,fruit
255,,fish-stick
256,百,hundred
257,身,somebody
258,原,diamond
259,,womb
260,,pool
261,分,part
262,,bar
263,井,well
264,今,now
265,公,public
266,,saw
267,丈,height
268,歩,walk
269,男,man
270,句,paragraph
272,去,cemetery
273,面,robot
275,谷,valley
276,付,glue
278,無,nothing
282,吉,longcat
283,虍,tiger
284,楽,comfort
285,午,noon
286,曽,mask
287,凶,treasure-chest
288,昔,long-ago
289,先,previous
290,幸,happiness
